DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use
ATLHOLD,77 FORSYTH ST. SW. ATLANTA GA,55,-84.39353548,33.75277937,ATLANTA DISTRICT HOLD ROOM,ATLANTA,FULTON,GA,30303,11,ATL,ATL,Other,HOLD,Yes,Female/Male,0,,1,11/4/17,3/30/00,2000,7,0,1,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,20
ATTHOLD,109 W CORSICANA STREET ATHENS TX,53,-95.85517427,32.20424234,ATHENS TX HOLD ROOM,ATHENS,HENDERSON,TX,75751,5,DAL,,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0
AUDRNMO,1100 LITTLEBY ROAD MEXICO MO,58,-91.81729002,39.16798,AUDRAIN COUNTY JAIL,MEXICO,AUDRAIN,MO,65265,8,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,11/17/04,1/14/03,2003,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,,,,,,No,NO,NO,NO,No,,0
AURORCO,1500 EAST ALAMEDA DRIVE AURORA CO,59,-104.7875944,39.70872709,AURORA CITY JAIL,AURORA,ARAPAHOE,CO,80017,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,4/9/08,4/29/98,1998,0,0,0,,,GEO,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AUSHOLD,300 EAST 8TH STREET AUSTIN TX,60,-97.73897797,30.26963802,AUSTIN DRO HOLD ROOM,AUSTIN,TRAVIS,TX,78701,5,SNA,AUS,Other,HOLD,Yes,Male,0,,4,8/1/17,6/25/10,2010,4,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,1
AVPARLA,675 GOVERNMENT STREET MARKSVILLE LA,61,-92.06660277,31.11591526,AVOYELLES PARISH PRISON,MARKSVILLE,AVOYELLES,LA,71351,5,NOL,OAK,IGSA,IGSA,Yes,Female/Male,0,,0,8/30/01,10/5/86,1986,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AVWOMLA,675 GOVERNMENT ST MARKSVILLE LA,62,-92.06660277,31.11591526,AVOYELLES WOMENS CORRECTIONAL CENTER,MARKSVILLE,AVOYELLES,LA,71351,5,NOL,OAK,IGSA,IGSA,Yes,Female/Male,0,,0,5/27/04,8/24/92,1992,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AZDCTUC,10000 SOUTH WILMOT TUCSON AZ,43,-110.868677,32.06509201,ARIZONA DEPARTMENT OF CORRECTIONS - TUSCON,TUCSON,PIMA,AZ,85734,9,PHO,TUC,IGSA,IGSA,Yes,Female/Male,0,,0,7/17/90,7/17/90,1990,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AZSPPER,2105 NORTH CITRUS RD GOODYEAR AZ,1014,-112.4441026,33.46827312,PERRYVILLE STATE PRISON,GOODYEAR,MARICOPA,AZ,85395,9,PHO,,IGSA,IGSA,Yes,Male,0,,0,9/28/16,12/27/15,2015,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,,,,No,,0
BAILECA,446 ALTA ROAD SAN DIEGO CA,523,-116.923428,32.59111301,GEORGE BAILEY DETENTION FACILITY,SAN DIEGO,SAN DIEGO,CA,92158,9,SND,SND,IGSA,IGSA,Yes,Female/Male,0,,0,3/27/17,9/13/11,2011,0,0,0,NO,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BAKERFL,1 SHERIFF OFFICE DRIVE MACCLENNY FL,65,-82.12284996,30.29604998,BAKER COUNTY SHERIFF'S OFFICE,MACCLENNY,BAKER,FL,32063,11,MIA,KRO,IGSA,IGSA,Yes,Female/Male,0,,288,11/4/17,6/7/00,2000,292,167,112,YES,MID-LEVEL PROVIDER - ARNP,COUNTY,COUNTY,8/17/09,NA,#VALUE!,NA,$84.72 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,Standard 2.11,No,Acceptable,Acceptable,4/20/17,Acceptable,,No,NO,NO,NO,No,NONE,35
BALDWAL,200 HAND AVE. BAY MINETTE AL,67,-87.77456001,30.88401728,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,BALDWIN,AL,36507,11,NOL,NOL,IGSA,IGSA,Yes,Male,0,,1,11/4/17,4/20/11,2011,11,2,2,YES,COUNTY,COUNTY (SHERIFF),COUNTY,6/24/09,NA,#VALUE!,NA,$40.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,8/29/17,Acceptable,,No,NO,NO,NO,No,NONE,33
BALHOLD,1530 CATON CENTER DRIVE BALTIMORE MD,68,-76.68146401,39.25525799,BALTIMORE DD&P,BALTIMORE,BALTIMORE,MD,21227,4,BAL,BAL,Other,HOLD,Yes,Male,0,,0,10/29/17,7/1/01,2001,3,1,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,29
BANNOID,5800 SOUTH 5TH AVE POCATELLO ID,69,-112.3898237,42.82366821,BANNOCK COUNTY JAIL,POCATELLO,BANNOCK,ID,83204,9,SLC,BOI,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,9/21/10,1/29/91,1991,0,0,0,,,COUNTY,,6/1/96,NA,#VALUE!,NA,$57.64 ,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Not Rated,6/30/10,,2007 and 2008 DEFICIENT,No,NO,NO,NO,No,,0
BARNSMA,ROUTE 6 COURTHOUSE COMPLEX BOX 397 BARNSTABLE MA,70,-70.30446,41.70194,BARNSTABLE COUNTY,BARNSTABLE,BARNSTABLE,MA,2630,1,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,0,4/22/12,10/24/06,2006,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Superior,Acceptable,10/2/08,,,No,NO,NO,NO,No,,0
BARRECA,21077 LYONS VALLEY ROAD ALPINE CA,71,-116.680522,32.71977401,BARRETT HONOR CAMP,ALPINE,PANOLA,CA,91901,9,SND,SND,IGSA,JUVENILE,Yes,Female/Male,0,,0,1/2/01,5/12/86,1986,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
BASCOTX,C/O JAIL ADMINISTRATOR BASTROP TX,72,-97.12556264,33.22651227,BASTROP COUNTY JAIL,BASTROP,BASTROP,TX,78602,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,9/18/07,12/27/90,1990,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BASILLA,3843 STAGG AVENUE BASILE LA,1230,-92.59212096,30.4859755,SOUTH LOUISIANA DETENTION CENTER,BASILE,EVANGELINE,LA,70515,5,NOL,OAK,IGSA,IGSA,Yes,Male,0,,0,1/5/16,1/31/97,1997,0,0,0,YES,COUNTY,GEO,COUNTY,1/16/97,NA,#VALUE!,NA,b)(4),Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,PBNDS 2011,Standard 2.11,No,Meets Standard,Meets Standard,2/12/15,,,No,NO,NO,NO,No,NONE,0
BAYAMPR,100 LAUREL AVENUE BAYAMON PR,75,-66.14429979,18.37696917,BAYAMON HOSPITAL,BAYAMON,SANTA JUANITA,PR,956,1,MIA,,Other,HOSPITAL,No,Female/Male,0,,0,8/30/17,3/27/17,2017,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,0
BAYCOFL,5600 NEHI ROAD PANAMA CITY FL,74,-85.56636765,30.22623425,BAY COUNTY,PANAMA CITY,BAY,FL,32404,11,MIA,ORL,IGSA,IGSA,Yes,Female/Male,0,,0,11/9/04,1/26/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BEACOSD,BOX 42 HURON SD,76,-98.21414,44.36385,BEADLE COUNTY,HURON,BEADLE,SD,57350,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,3/13/06,7/10/95,1995,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BEAURLA,412 MAYEAUX DRIVE DE RIDDER LA,81,-92.08171865,31.14397586,BEAUREGARD PARISH JAIL,DE RIDDER,BEAUREGARD,LA,70634,5,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,11/4/04,2/4/88,1988,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BEAVRPA,6000 WOODLAWN BOULEVARD ALIQUIPPA PA,82,-80.24216999,40.64549001,BEAVER COUNTY JAIL,ALIQUIPPA,BEAVER,PA,15001,3,PHI,PIT,USMS IGA,USMS IGA,Yes,Female/Male,0,,6,11/4/17,8/28/17,2017,17,7,3,YES,SOUTHERN HEALTH PARTNERS,COUNTY (SHERIFF),COUNTY,7/29/02,NA,#VALUE!,NA,$48.00 ,,AUTHORIZED,DMCP,Over 72,Local Standards,,No,Acceptable,,9/18/17,Acceptable,,No,,,,No,,35
BEDCITX,2121 L DON DODSON DRIVE BEDFORD TX,87,-97.13133299,32.842063,BEDFORD MUNICIPAL DETENTION CENTER,BEDFORD,TARRANT,TX,76021,5,DAL,DAL,IGSA,IGSA,Yes,Female/Male,0,,0,11/4/17,7/6/99,1999,27,2,4,NO,CITY,CITY,CITY,6/30/99,NA,#VALUE!,NA,$51.12 ,,AUTHORIZED,DMCP,Under 72,Minimum Service Standards,,No,Acceptable,,10/11/17,Acceptable,,No,NO,NO,NO,No,NONE,20
BEDFOOH,5661 PERKINS ROAD BEDFORD HTS OH,86,-81.497691,41.40576899,BEDFORD HEIGHTS CITY JAIL,BEDFORD HTS,CUYAHOGA,OH,44146,6,DET,CLE,IGSA,IGSA,Yes,Female/Male,0,,0,4/27/15,12/31/96,1996,0,0,0,YES,CITY,CITY,CITY,4/29/97,NA,#VALUE!,NA,$65.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,Local Standards,Standard 2.11,No,Acceptable,Acceptable,7/31/14,,,No,NO,NO,NO,No,NONE,0
BEDFOPA,204 THOMAS STREET BEDFORD PA,85,-78.505988,40.01697501,BEDFORD COUNTY JAIL,BEDFORD,BEDFORD,PA,15522,3,PHI,PIT,IGSA,IGSA,Yes,Female/Male,0,,0,12/7/09,3/20/94,1994,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Good,At-Risk,12/12/07,,,No,NO,NO,NO,No,,0
BEFAMPA,1040 BERKS ROAD LEESPORT PA,102,-76.01710811,40.37995573,BERKS COUNTY FAMILY SHELTER,LEESPORT,BERKS,PA,19533,3,PHI,BRK,IGSA,FAMILY,Yes,Female/Male,96,61%,67,11/4/17,1/7/01,2001,71,58,1,YES,IHSC,COUNTY,COUNTY,NA,NA,#VALUE!,96,96 (GM); $530000 Flat Monthly Rate + $10.95 per Person + $788605 per year Education Cost,,AUTHORIZED,JFRMU,Over 72,ICE Family Residential Standards,PREA,No,,,,,,No,NO,NO,NO,No,,35
BEHOSNY,462 1ST AVENUE NEW YORK NY,92,-73.97633301,40.73953002,BELLEVUE HOSPITAL,NEW YORK,NEW YORK,NY,10016,2,NYC,NYC,Other,HOSPITAL,No,Female/Male,0,,0,4/10/17,6/5/14,2014,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
BEJUVPA,1261 COUNTY WELFARE ROAD LEESPORT PA,101,-76.01768199,40.38286998,BERKS COUNTY,LEESPORT,BERKS,PA,19533,3,PHI,PHI,IGSA,JUVENILE,Yes,Female/Male,0,,0,3/29/12,2/2/94,1994,0,0,0,NO,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,Over 72,,,No,Superior,Acceptable,5/4/07,,,No,NO,NO,NO,No,,0
BELCOTX,111 W. CENTRAL BELTON TX,89,-97.46490103,31.05670368,BELL COUNTY JAIL,BELTON,BELL,TX,76513,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,9/24/07,5/22/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BELJUTX,4800 EAST RANCIER KILLEEN TX,90,-97.67629701,31.11495098,BELL COUNTY JUVENILE,KILLEEN,BELL,TX,76543,5,SNA,SNA,IGSA,JUVENILE,Yes,Female/Male,0,,0,2/19/07,1/21/99,1999,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
BELKNNH,76 COUNTY DR LACONIA NH,88,-71.48490099,43.54372815,BELKNAP COUNTY JAIL,LACONIA,BELKNAP,NH,3246,1,BOS,BOS,IGSA,IGSA,Yes,Female/Male,0,,0,10/21/02,10/21/92,1992,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BELPDMI,6 MAIN ST. BELLEVILLE MI,91,-83.485488,42.20517699,BELLEVILLE POLICE DEPARTMENT (MICHIGAN),BELLEVILLE,WAYNE,MI,48111,6,DET,DET,IGSA,IGSA,Yes,Female/Male,0,,0,3/28/04,3/23/91,1991,0,0,0,,,CITY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BENTCCO,11100 COUNTY RD GG 75 LAS ANIMAS CO,95,-103.2072174,37.6440554,BENT COUNTY JAIL,LAS ANIMAS,BENT,CO,81054,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,10/8/07,7/12/06,2006,0,0,0,,,CCA,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BENTOAR,1300 SW 14TH STREET BENTONVILLE AR,96,-94.22899298,36.35956098,BENTON COUNTY DETENTION CENTER,BENTONVILLE,BENTON,AR,72712,8,NOL,NOL,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,6/11/08,1/30/01,2001,0,0,0,,,COUNTY (SHERIFF),COUNTY,10/25/00,NA,#VALUE!,NA,$40.00 ,,AUTHORIZED,DMCP,Over 72,Local Standards,,No,Good,Deficient,2/29/08,,,No,NO,NO,NO,No,,0
BENTOIA,113 E 3RD ST VINTON IA,97,-92.0240381,42.16873569,BENTON COUNTY JAIL,VINTON,BENTON,IA,52349,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,11/19/03,5/4/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BENTOMN,581 HIGHWAY 23 NE FOLEY MN,99,-93.91051,45.66761999,BENTON COUNTY JAIL,FOLEY,BENTON,MN,56329,8,SPM,SPM,IGSA,IGSA,Yes,Female/Male,0,,0,12/3/02,7/2/99,1999,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BENTOWA,7320 W. QUINAULT KENNEWICK WA,98,-119.2203596,46.2211458,BENTON COUNTY JAIL,KENNEWICK,BENTON,WA,99336,9,SEA,RIC,IGSA,IGSA,Yes,Female/Male,0,,0,12/22/09,11/9/05,2005,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$76.00 ,,USE PROHIBITED,DMCP,Under 72,,,No,Good,Deficient,10/22/09,,,No,NO,NO,NO,No,,0
BERGENJ,160 SOUTH RIVER STREET HACKENSACK NJ,100,-74.03881398,40.87384101,BERGEN COUNTY JAIL,HACKENSACK,BERGEN,NJ,7601,3,NYC,VRK,USMS IGA,USMS IGA,Yes,Male,128,262%,378,11/4/17,6/13/89,1989,380,183,153,YES,COUNTY,COUNTY (SHERIFF),COUNTY,3/23/09,NA,#VALUE!,NA,$110.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,No,Acceptable,Acceptable,2/9/17,Acceptable,,No,YES,YES,NO,Yes,ROVING,35
BERKSPA,1287 COUNTY WELFARE ROAD LEESPORT PA,103,-76.02112402,40.385217,BERKS COUNTY PRISON,LEESPORT,BERKS,PA,19533,3,PHI,BRK,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,8/2/10,7/23/86,1986,0,0,0,,,COUNTY,COUNTY,NA,NA,#VALUE!,NA,$61.34 ,,AUTHORIZED,DMCP,Over 72,ACA and FPBDS,,No,Good,Deficient,5/7/09,,,No,NO,YES,NO,No,,0
BERNANM,415 ROMA N.W. ALBUQUERQUE NM,106,-106.6509183,35.08925959,BERNALILLO COUNTY DETENTION CENTER,ALBUQUERQUE,BERNALILLO,NM,87102,10,ELP,ELP,IGSA,DIGSA,Yes,Female/Male,0,,0,4/2/09,8/25/99,1999,0,0,0,,,CORNELL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,Good,Acceptable,11/21/06,,,No,NO,NO,NO,No,,0
BESECPA,1261 COUNTY WELFARE ROAD LEESPORT PA,104,-76.01768199,40.38286998,BERKS COUNTY SECURED JUVENILE,LEESPORT,BERKS,PA,19533,3,PHI,BRK,IGSA,JUVENILE,Yes,Female/Male,0,,0,5/22/12,11/21/00,2000,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$183.90 ,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BEXARTX,C/O JAIL ADMINISTRATOR SAN ANTONIO TX,110,-98.49461,29.42458,BEXAR COUNTY JAIL,SAN ANTONIO,BEXAR,TX,78207,5,SNA,SNA,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,10/22/07,10/22/83,1983,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$64.95 ,,NOT INSPECTED,DMCP,,,,No,Superior,Acceptable,7/3/08,,,No,NO,NO,NO,No,,0
BEXJUTX,600 MISSION ROAD SAN ANTONIO TX,111,-98.49092202,29.39388202,BEXAR COUNTY JUVENILE,SAN ANTONIO,BRAZOS,TX,77803,5,SNA,SNA,IGSA,JUVENILE,Yes,Female/Male,0,,0,3/30/07,2/2/99,1999,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
BFGHITX,5708 HARDY ST HOUSTON TX,185,-95.35240798,29.811703,BYRD'S FOSTER GROUP HOME INC,HOUSTON,HARRIS,TX,77009,5,HOU,,IGSA,JUVENILE,Yes,Male,0,,0,2/17/16,2/17/16,2016,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,,,,No,,0
BHCALCA,4619 N ROSEMEAD BLVD. ROSEMEAD CA,23,-118.073856,34.08866901,ALHAMBRA BHC HOSPITAL,ROSEMEAD,LOS ANGELES,CA,91770,9,LOS,LOS,Other,HOSPITAL,No,Female/Male,0,,0,1/22/15,7/3/08,2008,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
BHCELLA,5650 READ BLVD NEW ORLEANS LA,113,-89.97281602,30.031706,BHC EAST LAKE (HOSP.),NEW ORLEANS,ORLEANS PARISH,LA,70127,5,NOL,NOL,Other,HOSPITAL,No,Female/Male,0,,0,9/15/99,6/4/99,1999,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
BHFLDMI,165 N. WASIHNGTON AVENUE BATTLE CREEK MI,150,-85.19165901,42.32968099,BRONSON HOSPITAL FIELDSTONE CENTER,BATTLE CREEK,COUNTY,MI,49017,6,DET,,Other,HOSPITAL,No,Female/Male,0,,0,1/24/14,10/28/13,2013,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,0
BHMHOLD,UNAVAILABLE HOMEWOOD AL,120,-86.78966,33.47886,BIRMINGHAM HOLD ROOM,HOMEWOOD,JEFFERSON,AL,35219,11,NOL,BHM,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
BIGHOMT,COUNTY COURTHOUSE HARDIN MT,114,-88.25033,35.2248,BIG HORN COUNTY JAIL (MONTANA),HARDIN,BIG HORN,MT,59034,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,3/9/11,4/3/00,2000,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$40.00 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BIGHOWY,BOX 69 BASIN WY,115,-108.04006,44.38111,BIG HORN COUNTY JAIL (WYOMING),BASIN,BIG HORN,WY,82410,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,12/25/07,5/16/07,2007,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BILHOLD,2900 4TH AVE NORTH BILLINGS MT,118,-108.50955,45.78386898,BILLINGS HOLD ROOM,BILLINGS,YELLOWSTONE,MT,59101,9,SLC,,Other,HOLD,Yes,Female/Male,0,,0,NA,NA,#VALUE!,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0
BINGHID,501 NORTH MAPLE BLACKFOOT ID,119,-112.34432,43.19414002,BINGHAM COUNTY JAIL,BLACKFOOT,BINGHAM,ID,83221,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,6/15/08,1/29/91,1991,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,5/11/07,,,No,NO,NO,NO,No,,0
BKLHOLD,800 TRUXTUN BAKERSFIELD CA,66,-119.01124,35.37378999,BAKERFIELD HOLD,BAKERSFIELD,SUMMIT,CA,93301,9,SFR,BKI,Other,HOLD,Yes,Female/Male,0,,0,11/3/17,2/11/08,2008,18,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,1
BLACKIA,225 E. 6TH STREET WATERLOO IA,121,-92.33389002,42.49758002,BLACK HAWK COUNTY JAIL,WATERLOO,BLACK HAWK CO JAIL,IA,59523,8,SPM,OMA,IGSA,IGSA,Yes,Female/Male,0,,0,4/7/03,7/29/96,1996,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BLAINMT,400 OHIO ST CHINOOK MT,122,-109.22854,48.59106999,BLAINE COUNTY JAIL,CHINOOK,BLAINE,MT,59523,9,SLC,HEL,IGSA,IGSA,Yes,Female/Male,0,,0,1/29/03,12/20/91,1991,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BLANCTX,C/O COUNTY SHERIFF JOHNSON CITY TX,123,-97.36641188,32.37899022,BLANCO COUNTY JAIL,JOHNSON CITY,BLANCO,TX,78636,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,6/24/07,5/16/06,2006,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
BLHHOLD,1431 SUNSET AVE FERNDALE WA,93,-122.559275,48.821717,BELLINGHAM BPS ERO HOLDROOM,FERNDALE,WHATCOM,WA,98248,9,SEA,,Other,HOLD,Yes,Female/Male,0,,1,11/4/17,9/14/17,2017,1,1,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,30
BLOJVTN,329 COURT ST MARYVILLE TN,125,-83.96907,35.75478001,BLOUNT COUNTY JUVENILE DETENTION CENTER,MARYVILLE,BLOUNT,TN,37804,6,NOL,NOL,IGSA,JUVENILE,Yes,Female/Male,0,,0,1/25/06,1/31/03,2003,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,,,,No,,,,,,No,NO,NO,NO,No,,0
BLOUNTN,940 LAMAR ALEXANDER PARKWAY MARYVILLE TN,124,-83.95847743,35.75489365,BLOUNT COUNTY JUSTICE CENTER,MARYVILLE,BLOUNT,TN,37801,6,NOL,NOL,IGSA,IGSA,Yes,Female/Male,0,,0,2/24/09,12/9/99,1999,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Deficient,4/2/08,,2008 DEFICIENT,Yes,NO,NO,NO,No,,0
BOEHOLD,6451 BOEING DRIVE EL PASO TX,429,-106.401318,31.792136,EL PASO BOEING DR HOLDROOM,EL PASO,EL PASO,TX,79925,5,ELP,EPC,Other,HOLD,Yes,Female/Male,0,,0,7/3/17,7/10/14,2014,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0
BOIHOLD,1185 S. VINNELL WAY BOISE ID,126,-116.287093,43.59423001,BOISE HOLDROOM,BOISE,ADA,ID,83709,9,SLC,,Other,HOLD,Yes,Female/Male,0,,0,5/28/15,5/28/15,2015,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0
